rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,lineage_depth,draft_name,latest_rev,draft_title,draft_type,revision_count,publication_year,is_final_draft
/api/v1/doc/document/rfc3019/,3019,rfc3019,IP Version 6 Management Information Base for The Multicast Listener Discovery Protocol,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-ipngwg-mld-mib/,/api/v1/doc/document/draft-ietf-ipngwg-mld-mib/,0,draft-ietf-ipngwg-mld-mib,04,IP Version 6 Management Information Base for The Multicast Listener Discovery Protocol,/api/v1/name/doctypename/draft/,5,2001,True
/api/v1/doc/document/rfc3022/,3022,rfc3022,Traditional IP Network Address Translator (Traditional NAT),2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-nat-traditional/,/api/v1/doc/document/draft-ietf-nat-traditional/,0,draft-ietf-nat-traditional,04,Traditional IP Network Address Translator (Traditional NAT),/api/v1/name/doctypename/draft/,5,2001,True
/api/v1/doc/document/rfc3023/,3023,rfc3023,XML Media Types,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-murata-xml/,/api/v1/doc/document/draft-murata-xml/,0,draft-murata-xml,09,XML Media Types,/api/v1/name/doctypename/draft/,10,2001,True
/api/v1/doc/document/rfc3024/,3024,rfc3024,"Reverse Tunneling for Mobile IP, revised",2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mobileip-rfc2344-bis/,/api/v1/doc/document/draft-ietf-mobileip-rfc2344-bis/,0,draft-ietf-mobileip-rfc2344-bis,02,"Reverse Tunneling for Mobile IP, revised",/api/v1/name/doctypename/draft/,3,2001,True
/api/v1/doc/document/rfc3026/,3026,rfc3026,Liaison to IETF/ISOC on ENUM,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-itu-sg2-liason-enum/,/api/v1/doc/document/draft-itu-sg2-liason-enum/,0,draft-itu-sg2-liason-enum,00,Liaison to IETF/ISOC on ENUM,/api/v1/name/doctypename/draft/,1,2001,True
/api/v1/doc/document/rfc3027/,3027,rfc3027,Protocol Complications with the IP Network Address Translator,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-nat-protocol-complications/,/api/v1/doc/document/draft-ietf-nat-protocol-complications/,0,draft-ietf-nat-protocol-complications,05,Protocol Complications with the IP Network Address Translator,/api/v1/name/doctypename/draft/,6,2001,True
/api/v1/doc/document/rfc3028/,3028,rfc3028,Sieve: A Mail Filtering Language,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-showalter-sieve/,/api/v1/doc/document/draft-showalter-sieve/,0,draft-showalter-sieve,11,Sieve: A Mail Filtering Language,/api/v1/name/doctypename/draft/,12,2001,True
/api/v1/doc/document/rfc3031/,3031,rfc3031,Multiprotocol Label Switching Architecture,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-arch/,/api/v1/doc/document/draft-ietf-mpls-arch/,0,draft-ietf-mpls-arch,07,Multiprotocol Label Switching Architecture,/api/v1/name/doctypename/draft/,8,2001,True
/api/v1/doc/document/rfc3032/,3032,rfc3032,MPLS Label Stack Encoding,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-label-encaps/,/api/v1/doc/document/draft-ietf-mpls-label-encaps/,0,draft-ietf-mpls-label-encaps,08,MPLS Label Stack Encoding,/api/v1/name/doctypename/draft/,9,2001,True
/api/v1/doc/document/rfc3033/,3033,rfc3033,The Assignment of the Information Field and Protocol Identifier in the Q.2941 Generic Identifier and Q.2957 User-to-user Signaling for the Internet Protocol,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-git-uus/,/api/v1/doc/document/draft-ietf-mpls-git-uus/,0,draft-ietf-mpls-git-uus,04,The Assignment of the Information Field and Protocol Identifier in the Q.2941 Generic Identifier and Q.2957 User-to-user Signaling for the Internet Protocol,/api/v1/name/doctypename/draft/,5,2001,True
/api/v1/doc/document/rfc3034/,3034,rfc3034,Use of Label Switching on Frame Relay Networks Specification,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-fr/,/api/v1/doc/document/draft-ietf-mpls-fr/,0,draft-ietf-mpls-fr,06,Use of Label Switching on Frame Relay Networks Specification,/api/v1/name/doctypename/draft/,7,2001,True
/api/v1/doc/document/rfc3035/,3035,rfc3035,MPLS using LDP and ATM VC Switching,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-atm/,/api/v1/doc/document/draft-ietf-mpls-atm/,0,draft-ietf-mpls-atm,04,MPLS using LDP and ATM VC Switching,/api/v1/name/doctypename/draft/,5,2001,True
/api/v1/doc/document/rfc3036/,3036,rfc3036,LDP Specification,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-ldp/,/api/v1/doc/document/draft-ietf-mpls-ldp/,0,draft-ietf-mpls-ldp,11,LDP Specification,/api/v1/name/doctypename/draft/,12,2001,True
/api/v1/doc/document/rfc3037/,3037,rfc3037,LDP Applicability,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-ldp-applic/,/api/v1/doc/document/draft-ietf-mpls-ldp-applic/,0,draft-ietf-mpls-ldp-applic,02,LDP Applicability,/api/v1/name/doctypename/draft/,3,2001,True
/api/v1/doc/document/rfc3038/,3038,rfc3038,VCID Notification over ATM link for LDP,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-vcid-atm/,/api/v1/doc/document/draft-ietf-mpls-vcid-atm/,0,draft-ietf-mpls-vcid-atm,05,VCID Notification over ATM link for LDP,/api/v1/name/doctypename/draft/,6,2001,True
/api/v1/doc/document/rfc3039/,3039,rfc3039,Internet X.509 Public Key Infrastructure Qualified Certificates Profile,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-pkix-qc/,/api/v1/doc/document/draft-ietf-pkix-qc/,0,draft-ietf-pkix-qc,05,Internet X.509 Public Key Infrastructure Qualified Certificates Profile,/api/v1/name/doctypename/draft/,6,2001,True
/api/v1/doc/document/rfc3040/,3040,rfc3040,Internet Web Replication and Caching Taxonomy,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-wrec-taxonomy/,/api/v1/doc/document/draft-ietf-wrec-taxonomy/,0,draft-ietf-wrec-taxonomy,05,Internet Web Replication and Caching Taxonomy,/api/v1/name/doctypename/draft/,6,2001,True
/api/v1/doc/document/rfc3041/,3041,rfc3041,Privacy Extensions for Stateless Address Autoconfiguration in IPv6,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-ipngwg-addrconf-privacy/,/api/v1/doc/document/draft-ietf-ipngwg-addrconf-privacy/,0,draft-ietf-ipngwg-addrconf-privacy,03,Privacy Extensions for Stateless Address Autoconfiguration in IPv6,/api/v1/name/doctypename/draft/,4,2001,True
/api/v1/doc/document/rfc3042/,3042,rfc3042,Enhancing TCP's Loss Recovery Using Limited Transmit,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-tsvwg-limited-xmit/,/api/v1/doc/document/draft-ietf-tsvwg-limited-xmit/,0,draft-ietf-tsvwg-limited-xmit,00,Enhancing TCP's Loss Recovery Using Limited Transmit,/api/v1/name/doctypename/draft/,1,2001,True
/api/v1/doc/document/rfc3043/,3043,rfc3043,The Network Solutions Personal Internet Name (PIN): A URN Namespace for People and Organizations,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-mealling-pin-urn/,/api/v1/doc/document/draft-mealling-pin-urn/,0,draft-mealling-pin-urn,01,The Network Solutions Personal Internet Name (PIN): A URN Namespace for People and Organizations,/api/v1/name/doctypename/draft/,2,2001,True
/api/v1/doc/document/rfc3044/,3044,rfc3044,Using The ISSN (International Serial Standard Number) as URN (Uniform Resource Names) within an ISSN-URN Namespace,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-rozenfeld-urn-issn/,/api/v1/doc/document/draft-rozenfeld-urn-issn/,0,draft-rozenfeld-urn-issn,00,Using The ISSN (International Serial Standard Number) as URN (Uniform Resource Names) within an ISSN-URN Namespace,/api/v1/name/doctypename/draft/,1,2001,True
/api/v1/doc/document/rfc3045/,3045,rfc3045,Storing Vendor Information in the LDAP root DSE,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-mmeredith-rootdse-vendor-info/,/api/v1/doc/document/draft-mmeredith-rootdse-vendor-info/,0,draft-mmeredith-rootdse-vendor-info,02,Storing Vendor Information in the LDAP root DSE,/api/v1/name/doctypename/draft/,3,2001,True
/api/v1/doc/document/rfc3046/,3046,rfc3046,DHCP Relay Agent Information Option,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-dhc-agent-options/,/api/v1/doc/document/draft-ietf-dhc-agent-options/,0,draft-ietf-dhc-agent-options,11,DHCP Relay Agent Information Option,/api/v1/name/doctypename/draft/,12,2001,True
/api/v1/doc/document/rfc3047/,3047,rfc3047,RTP Payload Format for ITU-T Recommendation G.722.1,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-avt-rtp-g7221/,/api/v1/doc/document/draft-ietf-avt-rtp-g7221/,0,draft-ietf-avt-rtp-g7221,00,RTP Payload Format for ITU-T Recommendation G.722.1,/api/v1/name/doctypename/draft/,1,2001,True
/api/v1/doc/document/rfc3048/,3048,rfc3048,Reliable Multicast Transport Building Blocks for One-to-Many Bulk-Data Transfer,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-rmt-buildingblocks/,/api/v1/doc/document/draft-ietf-rmt-buildingblocks/,0,draft-ietf-rmt-buildingblocks,02,Reliable Multicast Transport Building Blocks for One-to-Many Bulk-Data Transfer,/api/v1/name/doctypename/draft/,3,2001,True
/api/v1/doc/document/rfc3049/,3049,rfc3049,TN3270E Service Location and Session Balancing,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-tn3270e-service-loc/,/api/v1/doc/document/draft-ietf-tn3270e-service-loc/,0,draft-ietf-tn3270e-service-loc,05,TN3270E Service Location and Session Balancing,/api/v1/name/doctypename/draft/,6,2001,True
/api/v1/doc/document/rfc3050/,3050,rfc3050,Common Gateway Interface for SIP,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-lennox-sip-cgi/,/api/v1/doc/document/draft-lennox-sip-cgi/,0,draft-lennox-sip-cgi,04,Common Gateway Interface for SIP,/api/v1/name/doctypename/draft/,5,2001,True
